date;department;category;region;budget_amount;actual_amount;payment_method;transaction_id
13/1/2023;Finance;Travel;Central;135114;162322;Bank Transfer;TXN100113
18/7/2022;Finance;Travel;Central;97606;151420;Cash;TXN100140
18/4/2023;Finance;Travel;Central;31153;13530;Bank Transfer;TXN100297
26/6/2021;Finance;Travel;Central;73328;85333;UPI;TXN100418
26/8/2023;Finance;Travel;Central;53374;102151;Card;TXN100499
17/3/2023;Finance;Travel;Central;54653;89573;Cash;TXN100589
12/10/2021;Finance;Travel;Central;15357;18634;Card;TXN100886
11/2/2021;Finance;Travel;Central;48270;162742;Card;TXN101048
3/3/2023;Finance;Travel;Central;97298;80290;UPI;TXN101307
3/2/2023;Finance;Travel;Central;12906;141733;Cash;TXN101829
29/10/2023;Finance;Travel;Central;119623;56977;UPI;TXN101911
9/2/2021;Finance;Travel;Central;20275;136513;Cash;TXN102256
1/5/2022;Finance;Travel;Central;48151;26034;UPI;TXN102257
30/7/2021;Finance;Travel;Central;139942;42664;Card;TXN102290
2/2/2023;Finance;Travel;Central;51313;83237;Card;TXN102369
2/7/2021;Finance;Travel;Central;132297;159292;Cash;TXN102470
7/3/2022;Finance;Travel;Central;92168;64207;UPI;TXN102582
1/7/2022;Finance;Travel;Central;84536;24097;UPI;TXN102694
10/1/2023;Finance;Travel;Central;103254;10164;Card;TXN102840
29/3/2022;Finance;Travel;Central;28069;75197;UPI;TXN102917
7/4/2022;Finance;Travel;Central;51961;109999;Cash;TXN103024
19/5/2023;Finance;Travel;Central;14986;162039;Card;TXN103071
1/3/2022;Finance;Travel;Central;40766;20542;Card;TXN103459
22/12/2023;Finance;Travel;Central;56652;113029;Bank Transfer;TXN103509
27/7/2023;Finance;Travel;Central;127553;76640;Bank Transfer;TXN103534
12/6/2023;Finance;Travel;Central;73475;36658;Card;TXN103583
27/8/2021;Finance;Travel;Central;22971;115455;Cash;TXN104272
23/10/2022;Finance;Travel;Central;108967;142667;Bank Transfer;TXN104386
21/12/2022;Finance;Travel;Central;47426;63897;UPI;TXN104480
20/5/2023;Finance;Travel;Central;80599;89283;Cash;TXN104855
12/3/2021;Finance;Travel;Central;22034;47640;Bank Transfer;TXN105008
17/3/2023;Finance;Travel;Central;145274;17861;UPI;TXN105108
2/8/2022;Finance;Travel;Central;17773;142846;Bank Transfer;TXN105110
12/9/2022;Finance;Travel;Central;97921;159945;Cash;TXN105240
31/10/2021;Finance;Travel;Central;44045;155320;Card;TXN105254
11/7/2021;Finance;Travel;Central;60413;31098;Card;TXN105282
15/3/2023;Finance;Travel;Central;90359;94686;UPI;TXN105514
10/12/2021;Finance;Travel;Central;149045;76737;UPI;TXN105688
13/4/2021;Finance;Travel;Central;97521;151085;Bank Transfer;TXN105703
17/8/2022;Finance;Travel;Central;134471;34347;Card;TXN105719
10/7/2022;Finance;Travel;Central;15203;107773;Bank Transfer;TXN105760
6/11/2021;Finance;Travel;Central;85696;47510;Bank Transfer;TXN105785
15/12/2021;Finance;Travel;Central;77722;82613;UPI;TXN105882
16/4/2021;Finance;Travel;Central;116773;37059;Card;TXN106227
27/4/2021;Finance;Travel;Central;90789;54594;Bank Transfer;TXN106237
11/5/2023;Finance;Travel;Central;72538;150302;Cash;TXN106360
29/3/2023;Finance;Travel;Central;138848;58120;Card;TXN106516
2/12/2023;Finance;Travel;Central;111297;47946;UPI;TXN107159
4/10/2022;Finance;Travel;Central;79287;51401;UPI;TXN107432
6/5/2021;Finance;Travel;Central;120081;149595;Card;TXN107457
23/7/2022;Finance;Travel;Central;66734;84143;Card;TXN107724
30/5/2023;Finance;Travel;Central;29029;149266;UPI;TXN107785
21/4/2023;Finance;Travel;Central;38691;74192;Bank Transfer;TXN107835
5/8/2021;Finance;Travel;Central;16246;135482;Cash;TXN108275
10/4/2023;Finance;Travel;Central;49225;115063;Cash;TXN108354
1/11/2022;Finance;Travel;Central;29335;68946;Cash;TXN108445
12/1/2021;Finance;Travel;Central;14512;30226;Card;TXN108526
28/11/2021;Finance;Travel;Central;19362;34057;UPI;TXN108579
22/9/2021;Finance;Travel;Central;76646;120973;Bank Transfer;TXN108625
13/6/2022;Finance;Travel;Central;68568;30952;UPI;TXN108677
14/9/2021;Finance;Travel;Central;104373;45551;Card;TXN108946
29/3/2022;Finance;Travel;Central;96164;151191;Cash;TXN109116
8/4/2021;Finance;Travel;Central;143512;98958;UPI;TXN109189
4/1/2023;Finance;Travel;Central;114541;161758;Cash;TXN109255
18/11/2023;Finance;Travel;Central;122590;102980;Cash;TXN109429
9/4/2021;Finance;Travel;Central;59875;106810;Cash;TXN109674
31/12/2021;Finance;Travel;Central;23119;78835;Cash;TXN109678
18/6/2023;Finance;Travel;Central;16043;28345;Bank Transfer;TXN109719
24/11/2022;Finance;Travel;Central;141886;91088;Card;TXN109915
3/9/2021;Finance;Travel;Central;11218;53711;Bank Transfer;TXN109950
31/12/2022;HR;Travel;Central;101517;89796;Card;TXN100053
2/6/2021;HR;Travel;Central;123500;111807;UPI;TXN100205
18/9/2022;HR;Travel;Central;116209;119467;Cash;TXN100263
21/9/2021;HR;Travel;Central;15139;37998;UPI;TXN100303
19/9/2023;HR;Travel;Central;83741;43320;Bank Transfer;TXN100309
6/4/2021;HR;Travel;Central;57952;35749;Card;TXN100405
22/6/2021;HR;Travel;Central;63201;73585;Cash;TXN100486
10/12/2022;HR;Travel;Central;17406;115247;Bank Transfer;TXN100549
23/3/2022;HR;Travel;Central;25297;168530;Bank Transfer;TXN100594
3/2/2022;HR;Travel;Central;141680;118875;UPI;TXN101144
11/1/2021;HR;Travel;Central;13706;132939;UPI;TXN101152
23/3/2021;HR;Travel;Central;137410;80404;UPI;TXN101232
11/7/2021;HR;Travel;Central;110355;32780;UPI;TXN101258
22/1/2022;HR;Travel;Central;52415;141338;Bank Transfer;TXN101317
7/3/2021;HR;Travel;Central;97590;125880;Card;TXN101471
9/5/2023;HR;Travel;Central;28262;127101;Cash;TXN101650
4/12/2022;HR;Travel;Central;131049;102912;UPI;TXN101869
19/2/2023;HR;Travel;Central;39917;141326;UPI;TXN101975
25/10/2022;HR;Travel;Central;111973;11187;Card;TXN101983
28/6/2021;HR;Travel;Central;29433;20838;Bank Transfer;TXN102426
21/3/2022;HR;Travel;Central;114519;167263;Cash;TXN102481
10/2/2021;HR;Travel;Central;85650;130785;Bank Transfer;TXN102501
15/9/2021;HR;Travel;Central;83212;64820;Cash;TXN102516
31/5/2023;HR;Travel;Central;99421;135362;Bank Transfer;TXN102658
16/11/2021;HR;Travel;Central;111429;161092;UPI;TXN102672
28/12/2023;HR;Travel;Central;63383;133059;Bank Transfer;TXN102896
15/7/2022;HR;Travel;Central;45757;22759;Cash;TXN103117
25/6/2021;HR;Travel;Central;24443;52013;Card;TXN103254
3/10/2021;HR;Travel;Central;119748;57726;Cash;TXN103718
30/12/2021;HR;Travel;Central;106602;72807;Card;TXN103726
13/5/2022;HR;Travel;Central;35117;150103;Card;TXN103863
2/1/2023;HR;Travel;Central;15331;13782;UPI;TXN104023
23/2/2022;HR;Travel;Central;38514;100955;UPI;TXN104086
25/12/2023;HR;Travel;Central;87437;53012;Bank Transfer;TXN104094
12/9/2022;HR;Travel;Central;61539;25759;UPI;TXN104133
15/7/2023;HR;Travel;Central;142382;145183;UPI;TXN104236
30/8/2022;HR;Travel;Central;14273;13733;Cash;TXN104310
4/7/2021;HR;Travel;Central;41086;151175;UPI;TXN104339
10/7/2022;HR;Travel;Central;32539;54686;UPI;TXN104394
5/8/2023;HR;Travel;Central;26151;50377;Bank Transfer;TXN104432
18/10/2023;HR;Travel;Central;23046;61374;UPI;TXN104750
24/3/2022;HR;Travel;Central;60570;112855;Bank Transfer;TXN104962
4/11/2023;HR;Travel;Central;53955;57146;Cash;TXN105184
4/6/2021;HR;Travel;Central;28199;53606;Cash;TXN105192
20/8/2021;HR;Travel;Central;36326;70926;UPI;TXN105379
11/8/2022;HR;Travel;Central;116994;67857;Cash;TXN105530
